Name,Category,Matrix unit,"Energy, kilocalories (kcal)","Fat, total (g)","Fatty acids, saturated (g)","Fatty acids, monounsaturated (g)","Fatty acids, polyunsaturated (g)",Cholesterol (mg),"Carbohydrates, available (g)",Sugars (g),Starch (g),Dietary fibres (g),Protein (g),Salt (NaCl) (g),Alcohol (g),Water (g),"Vitamin A activity, RE (µg-RE)","Vitamin A activity, RAE (µg-RE)",Retinol (µg),Beta- carotene activity (µg-BCE),Beta-carotene (µg),Vitamin B1 (thiamine) (mg),Vitamin B2 (riboflavin) (mg),Vitamin B6 (pyridoxine) (mg),Vitamin B12 (cobalamin) (µg),Niacin (mg),Folate (µg),Panthotenic acid (mg),Vitamin C (ascorbic acid) (mg),Vitamin D (calciferol) (µg),Vitamin E (?-tocopherol) (mg),Potassium (K) (mg),Sodium (Na) (mg),Chloride (Cl) (mg),Calcium (Ca) (mg),Magnesium (Mg) (mg),Phosphorus (P) (mg),Iron (Fe) (mg),Iodide (I) (µg),Zinc (Zn) (mg),Selenium (Se) (µg)
"Olive, black","Nuts, seeds and oleaginous fruit",per 100g edible portion,176,17.2,2.1,10.2,1.5,0,0.8,0.8,0,6.2,1.4,1.8,0,74.9,44,22,0,265,265,0.02,<0.01,0.03,0,<0.1,<5,0.04,<0.5,0,6.95,19,710,1070,80,16,7.9,8.5,4.5,0.1,n.d.
"Olive, green, in brine, drained","Nuts, seeds and oleaginous fruit",per 100g edible portion,154,15.7,2.3,11.1,1.5,0,tr.,tr.,0,3.6,1.3,3.2,0,75.8,4,2,0,27,27,<0.02,<0.01,0.02,0,<0.1,<5,0.04,<0.5,<0.3,4.39,31,1260,1760,58,24,6.7,0.2,2,0.1,0
"Olives stuffed with minced meat, deep-fried",Savoury snacks/Other savoury snacks,per 100g edible portion,329,15.1,3.2,9.1,1.8,47,32.8,2,30.6,3.2,13.1,1.5,0.4,35.8,79,51,23,336,336,0.14,0.09,0.12,0.39,0.87,22.5,0.57,3.2,0.7,2.04,180,600,960,120,24,130,1.1,8.1,1.5,n.d.
"Onion quiche, baked (with cake dough)","Prepared dishes/Cakes, pies and gratins",per 100g edible portion,171,10.1,5.4,2.7,0.7,41,14.6,3.6,10.1,1.6,4.7,0.9,0,69.1,85,81,78,40,40,0.07,0.06,0.08,0.09,0.31,10.6,0.27,2.8,0.3,0.35,140,380,660,33,12,65,0.4,4.5,0.5,n.d.
"Onion quiche, baked (with puff pastry)","Prepared dishes/Cakes, pies and gratins",per 100g edible portion,169,10.9,5.9,2.9,0.7,44,12.6,3.6,8.1,1.5,4.3,1,0,70.7,93,89,85,43,43,0.06,0.06,0.07,0.09,0.3,10.3,0.26,2.8,0.3,0.36,140,380,660,33,11,62,0.4,4.5,0.5,n.d.
"Onion, raw",Vegetables/Fresh vegetables,per 100g edible portion,39,0.6,0.2,0,0.1,0,6.3,4.8,0,1.9,1.1,0,0,89.9,3,1,0,16,16,0.04,0.02,0.09,0,0.2,29.6,0.16,5,0,0.06,140,7.7,23,20,8.5,30,0.2,1.8,0.2,0.6
"Onion, roasted, brown (without addition of fat and salt)",Vegetables/Cooked vegetables (incl. cans),per 100g edible portion,92,1.5,0.5,0,0.2,0,14.9,11.4,0,4.5,2.6,0,0,76,6,3,0,35,35,0.09,0.05,0.2,0,0.45,49.3,0.34,9,0,0.13,340,18,55,48,20,72,0.5,4.3,0.4,1.3
"Onion, stewed (without addition of fat and salt)",Vegetables/Cooked vegetables (incl. cans),per 100g edible portion,43,0.7,0.2,0,0.1,0,7,5.4,0,2.2,1.2,0,0,88.7,3,1,0,17,17,0.04,0.02,0.09,0,0.2,21.4,0.15,4.1,0,0.07,130,7.2,27,24,8.4,34,0.2,2.1,0.2,0.6
Orange juice,Fruit/Fruit juices;Non-alcoholic beverages/Fruit and vegetable juices,per 100ml food volume,44,0.1,0.1,0,0,0,10,10,0,0.3,0.6,0,0,91.7,5,2,0,27,27,0.08,0.02,0.1,0,0.31,31.2,0.25,38.5,0,0.2,170,5,68,8.3,10,17,0.1,0.7,0,<0.5
Orange nectar,Non-alcoholic beverages/Soft drinks;Non-alcoholic beverages/Fruit and vegetable juices,per 100ml food volume,44,0,tr.,tr.,tr.,0,10.5,10.5,0,0.1,0.4,0,0,88.2,7,3,0,40,40,0.04,0.01,0.02,0,0.14,12,0.08,12,0,0.1,110,1,3,6,7,10,0.1,2,0.1,n.d.
"Orange, fresh",Fruit/Fresh fruit,per 100g edible portion,45,0.2,tr.,tr.,tr.,0,8,7.6,0.4,2.7,0.8,0,0,87.3,26,13,0,154,72,0.09,0.03,0.05,0,0.35,18.8,0.18,50.9,0,0.19,180,tr.,4,45,15,38,0.3,1,0.2,<0.5
"Palm oil, palm fat",Fats and oils/Oils;Fats and oils/Fats,per 100ml food volume,809,89.9,43.9,34,8.4,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.66,0.9,0.9,0.9,0.9,0.9,0.9,0,tr.,0,0
Pancetta,Sausages and cold meats/Raw sausage products,per 100g edible portion,467,43,14.4,18.9,6.6,80,0.4,tr.,tr.,0,19.5,4.6,0,33,0,0,0,0,0,0.45,0.14,0.3,tr.,tr.,3,tr.,0,1.4,0.1,190,1850,tr.,13,tr.,84,0.8,tr.,1.9,n.d.
Panettone,Sweets/Other sweet pastries,per 100g edible portion,354,10.7,5.6,3.2,0.7,112,56.5,22.9,33.6,2.8,6.4,0.1,0,26.9,113,107,102,63,63,0.13,0.11,0.12,n.d.,0.63,33,n.d.,0,0.4,0.62,230,38,n.d.,150,n.d.,130,3,n.d.,0.6,n.d.
"Pantli, beef and pork sausage",Sausages and cold meats/Raw sausage products,per 100g edible portion,553,51.4,20.1,24.4,4.4,87,0.9,0.9,0,0,21.7,4,0,26,9,8,8,7,7,0.46,0.25,0.28,3.73,6.32,2.6,0.55,73.1,0,0.7,350,1600,2350,5.1,22,180,1.7,0.8,3.2,n.d.
"Papaya, ripe, raw",Fruit/Fresh fruit,per 100g edible portion,44,0.1,0,0,0,0,9.5,9.5,0,1.8,0.5,0,0,87.9,75,37,0,449,169,0.03,0.03,0.04,0,0.33,17.8,0.16,67.8,0,0.28,220,14,6,21,17,9,0.2,0.1,0.1,0.9
Paprika (spice),"Various/Salt, spices and flavours",per 100g edible portion,358,13,2.1,1.2,8.4,0,34.9,33.2,1.7,20.9,14.8,0.1,0,9.3,6060,3030,0,36360,36360,0.65,1.74,0,0,15.3,0,0,0,0,0,2340,34,220,180,190,350,24,5,4.1,n.d.
Parmesan cheese,Milk and dairy products/Hard cheese,per 100g edible portion,401,31,20.6,7.2,1,77,tr.,tr.,0,0,30.5,1.6,0,31.4,298,288,278,118,118,0.02,0.29,0.1,1.75,0.2,20,0.79,tr.,0.8,0.78,100,650,1700,1340,44,800,0.7,40,4,n.d.
"Parsley, fresh",Vegetables/Herbs,per 100g edible portion,58,0.5,0.1,0,0.2,0,7.4,4.8,2.6,4.3,3.9,0.1,0,82.1,770,385,0,4620,4620,0.15,0.3,0.2,0,1.4,132,0.31,182,0,3.54,850,38,160,210,37,110,5.9,3.4,0.8,n.d.
"Parsnip, cooked (without addition of salt)",Vegetables/Cooked vegetables (incl. cans),per 100g edible portion,58,0.4,0.1,0,0.2,0,11.4,2.9,8.5,2.1,1.2,0,0,84.9,3,2,0,19,19,0.07,0.1,0.07,0,0.69,22.7,0.33,8.3,0,0.93,200,2.2,34,42,13,68,0.3,3.4,0.4,0.5
"Parsnip, raw",Vegetables/Fresh vegetables,per 100g edible portion,62,0.4,0.1,0,0.3,0,12.1,3.1,9,2.1,1.3,0,0,79.8,3,2,0,20,20,0.1,0.13,0.09,0,0.94,43.2,0.52,19.7,0,0.88,430,3.8,36,42,21,71,0.4,3.6,0.5,0.6
"Passion fruit, fresh",Fruit/Fresh fruit,per 100g edible portion,102,3,0.5,0.5,1.8,0,10.9,8.5,1.2,6.8,2.1,0,0,73.6,127,64,0,764,670,0,0.07,0.23,0,1.47,102.6,0.27,25.6,0,0.4,240,5,37,8.1,26,46,0.6,1.3,0.8,0.2
"Pasta egg-free, cooked in salted water (uniodised)","Cereal products, pulses and potatoes/Pasta",per 100g edible portion,158,0.6,0.1,0,0.2,0,31.2,0.2,30.8,2.4,5.9,1,0,60.5,0,0,0,0,0,0.04,0.02,0.07,0,0.84,10.1,0.13,0,0,0.09,56,420,640,9.8,22,73,0.5,0.5,0.7,24
"Pasta egg-free, dry","Cereal products, pulses and potatoes/Pasta",per 100g edible portion,353,1.2,0.2,0.1,0.5,0,70.5,0.4,69.7,5.1,12.6,0,0,10,0,0,0,0,0,0.09,0.06,0.17,0,2,31,0.3,0,0,0.2,200,5,22,22,56,170,1.5,0.6,1.5,51
"Pasta gratin with ham, prepared","Prepared dishes/Cakes, pies and gratins",per 100g edible portion,163,6.9,3.5,1.9,0.6,78,14.4,1.4,13,1,10.2,1.2,0,67.6,63,61,58,26,26,0.11,0.15,0.09,0.38,1.16,8.9,0.52,8.5,0.5,0.36,140,480,750,120,20,180,0.6,12,1.2,n.d.
Pasta salad with French dressing,Prepared dishes/Salads,per 100g edible portion,128,5.8,0.9,2.3,2.1,42,12.6,1,11.5,1.3,5.6,0.8,0,74.9,38,25,11,164,164,0.11,0.06,0.09,0.12,1.03,16.5,0.37,11.9,0.3,2.15,140,300,440,17,17,83,0.5,4.2,0.6,n.d.
Pasta salat with Italian dressing,Prepared dishes/Salads,per 100g edible portion,130,6.1,0.9,4,0.6,38,12.7,1,11.6,1.3,5.5,0.7,0,74.6,39,25,11,167,167,0.11,0.06,0.1,0.11,1.03,16.2,0.35,12.1,0.3,1.61,140,280,420,16,16,81,0.5,3.9,0.6,n.d.
"Pasta with egg, cooked in salted water (uniodised)","Cereal products, pulses and potatoes/Pasta",per 100g edible portion,132,1.1,0.2,0.1,0.4,32,25,1.3,22.9,1.3,5,0.9,0,67.7,21,21,21,0,0,0.05,0.02,0.02,0,0.64,5.8,0.1,0,0,0.04,49,340,520,8.3,13,55,0.8,1.4,0.5,32
"Pasta with egg, dry","Cereal products, pulses and potatoes/Pasta",per 100g edible portion,365,2.8,0.5,0.4,1,86,69.9,3.7,64,3.4,13.3,0,0,10.7,63,63,63,0,0,0.17,0.07,0.06,0,1.9,22,0.3,0,0,0.1,220,17,31,23,42,150,3,3.3,1.3,86
"Pasta, fresh, filled with meat, cooked","Cereal products, pulses and potatoes/Pasta",per 100g edible portion,174,4.7,1.7,2,0.8,26,25.1,1,22.1,2.2,6.9,0.7,0,60.3,35,28,<21,82,82,0.19,0.05,0.05,0.57,0.51,13.6,0.32,<0.5,<0.4,0.28,95,300,450,29,18,86,0.8,8,0.7,9
"Pasta, fresh, filled with spinach and ricotta, cooked (without addition of fat and salt)","Cereal products, pulses and potatoes/Pasta",per 100g edible portion,179,4.9,1.7,1.7,0.8,37,25.9,0.6,25.1,1.5,7.1,0.5,0,61.1,80,54,28,313,313,0.04,0.08,0.05,0.18,0.69,22.3,0.35,2.3,0.3,0.76,84,190,600,51,18,78,0.5,7.6,1,n.d.
"Pasta, fresh, filled with spinach and ricotta, raw","Cereal products, pulses and potatoes/Pasta",per 100g edible portion,214,5.7,2,1.9,1,43,31.6,0.7,30.6,1.7,8.3,1.1,0,51.6,103,70,36,404,404,0.06,0.12,0.07,0.21,0.89,37,0.46,3.7,0.3,0.88,160,440,690,62,24,95,0.8,8.8,1.2,n.d.
"Pea, mature seed, split, cooked (wothout addition of fat and salt)","Cereal products, pulses and potatoes/Pulses",per 100g edible portion,137,0.7,0.1,0.1,0.3,0,21.2,1.1,16.1,5,9,0,0,64.2,8,4,0,50,49,0.22,0.07,0.03,0,0.84,42.9,0.35,1,0,0.05,340,2.7,24,18,36,140,1.6,0.5,1.2,n.d.
"Pea, mature seed, split, dried","Cereal products, pulses and potatoes/Pulses",per 100g edible portion,331,1.7,0.3,0.3,0.7,0,51.9,2.8,39.4,11.6,21.3,0,0,11.2,20,10,0,118,115,0.79,0.21,0.12,0,3,200,1.49,3.9,0,0.13,1060,6.6,55,39,96,360,4.3,1.3,3.1,n.d.
"Peach, in syrup, canned, drained",Fruit/Cooked fruit (incl. cans),per 100g edible portion,82,0.1,0,0,0,0,18.6,17.9,0,1.6,0.7,0,0,78.9,19,9,0,113,113,0.01,0.02,0.01,0,0.51,2.3,0.15,2.5,0,0.98,120,0.8,2.8,7.2,7.4,17,0.1,3.1,0.1,1.3
"Peach, with sweetener, canned, drained",Fruit/Cooked fruit (incl. cans),per 100g edible portion,40,0.1,0,0,0.1,0,8.1,7.3,0,1.7,0.8,0,0,89.2,21,10,0,125,125,0.01,0.03,0.02,0,0.57,2.5,0.17,2.8,0,1.09,130,0.9,3,7.9,8.2,19,0.2,3.4,0.2,1.5
"Peach, yellow, fresh",Fruit/Fresh fruit,per 100g edible portion,43,0.1,0,0,0,0,8.9,8,0,1.9,0.8,0,0,87.3,25,12,0,147,147,0.01,0.03,0.02,0,0.63,4.5,0.18,6.1,0,0.96,190,1.3,2.6,7.3,9,21,0.2,3,0.1,1.3
Peanut,"Nuts, seeds and oleaginous fruit",per 100g edible portion,623,49.1,8.4,25.5,12.9,0,14.8,5.9,5,8.6,26.1,0,0,2.2,0,0,0,0,0,0.6,0.43,0.02,0,12,101.7,2.48,0,0,2.88,710,18,7,65,160,380,1.6,13,4,30
Peanut butter,Sweets/Jams and sweet sandwich spreads,per 100g edible portion,636,51.8,12.8,19.9,16.9,0,12.5,6.4,5.8,7.6,26.1,0.9,0,1.1,0,0,0,0,0,0.17,0.1,0.58,0,15,53,1.24,0,0,4.7,700,350,520,37,180,330,2,tr.,3,3
Peanut curls,Savoury snacks/Other savoury snacks,per 100g edible portion,507,24.2,4.4,11.7,6.9,0,56.5,tr.,tr.,4.9,13.2,1.9,0,1.5,26,13,0,156,156,0.18,0.04,0.13,0,3.26,17,0.6,0,0,3.5,170,770,1190,16,43,110,0.9,5,0.8,n.d.
Peanut oil,Fats and oils/Oils,per 100ml food volume,810,90,15.6,53.2,17.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.51,0,0,0.9,0,0,0,0,0,0,0
"Peanut, roasted, salted","Savoury snacks/Salted nuts, seeds and kernels",per 100g edible portion,631,50,8.6,24.7,12.4,0,15,4.2,8.9,8,26.2,1.3,0,1.2,0,0,0,0,0,0.14,0.07,0.43,0,12.4,66.6,1.17,<0.5,0,2.5,530,530,300,47,170,240,1.2,5.7,2.9,4.8
Pear juice,Fruit/Fruit juices;Non-alcoholic beverages/Fruit and vegetable juices,per 100ml food volume,52,0.3,0,0.1,0.1,0,12.1,10,0,0,0.5,0,0,90.5,3,1,0,17,17,0.03,0.03,0.01,0,0.19,9,0.05,3,0,0.47,110,2,2,10,7,11,0.2,0.8,0.1,n.d.
"Pear pie, home-made, baked (with cake dough)","Sweets/Cakes and tarts;Prepared dishes/Cakes, pies and gratins",per 100g edible portion,148,6.6,3,2.5,0.8,18,18.1,7.8,9,2.3,2.8,0.2,0,70.3,10,9,8,10,10,0.03,0.04,0.04,0.08,0.17,7.5,0.22,2.4,0.1,0.69,120,89,180,19,11,44,0.3,3.2,0.3,1.8
"Pear pie, home-made, baked (with puff pastry)","Sweets/Cakes and tarts;Prepared dishes/Cakes, pies and gratins",per 100g edible portion,146,6.8,3,2.6,0.8,18,17.4,7.8,8.3,2.3,2.6,0.3,0,71,10,9,8,10,10,0.03,0.04,0.03,0.08,0.16,7.6,0.21,2.4,0.1,0.73,120,110,210,18,8.7,35,0.2,3.1,0.2,1.8
"Pear, dried",Fruit/Dried fruit,per 100g edible portion,288,1.4,0.2,0.3,0.6,0,59.7,49.6,0,13.5,2.3,0,0,20,0,0,0,1,1,0.06,0.08,0.03,0,0.65,39,0.16,2.1,0,0.06,390,10,10,48,34,53,0.8,4,0.5,2
"Pear, in syrup, canned, drained",Fruit/Cooked fruit (incl. cans),per 100g edible portion,71,0.4,0.1,0.1,0.2,0,15.2,14.4,0,2.6,0.4,0,0,81.3,0,0,0,0,tr.,tr.,tr.,0.01,0,tr.,tr.,0.04,0.9,0,0.12,69,tr.,6,8.8,4,7.9,tr.,0.5,0.1,0.1
"Pear, raw",Fruit/Fresh fruit,per 100g edible portion,54,0.3,0.1,0.1,0.1,0,10.9,9,0,2.9,0.5,0,0,83.5,2,1,0,14,14,0.01,0.01,0.03,0,0.19,11.5,0.09,4.5,0,0.12,130,1.8,61,6.5,8.2,15,0.1,0.4,0.1,<0.5
"Pear, stewed, drained (without addition of sugar)",Fruit/Cooked fruit (incl. cans),per 100g edible portion,57,0.4,0.1,0.1,0.2,0,11.3,9.4,0,3,0.6,0,0,84.7,2,1,0,14,14,0.01,0.01,0.02,0,0.2,7.5,0.1,2.3,0,0.16,100,1.4,79,8,8.6,16,0.1,0.5,0.1,0.6
"Pear, with sweetener, canned, drained",Fruit/Cooked fruit (incl. cans),per 100g edible portion,50,0.3,0.1,0.1,0.1,0,9.9,8.2,0,2.6,0.5,0,0,86.6,3,1,0,16,12,0.01,0.01,0.02,0,0.17,6.5,0.08,2,0,0.14,90,1.2,69,7,7.5,14,0.1,0.5,0.1,0.6
Pearl barley,"Cereal products, pulses and potatoes/Other cereal products",per 100g edible portion,347,1.4,0.3,0.1,0.6,0,71,2.2,68.4,4.6,10.4,0,0,12.2,0,0,0,0,0,0.27,0.08,0.25,0,3.1,20,0.17,0,0,0.08,270,5,110,18,65,210,3,1,2.1,2.8
"Pearl onion, pickled",Vegetables/Cooked vegetables (incl. cans),per 100g edible portion,28,0.2,0,0,0.1,0,4.9,3.5,tr.,1.3,0.9,1.1,0,90.6,2,1,0,10,10,0.02,tr.,0.1,0,0.1,14,tr.,tr.,0,0.31,93,450,tr.,22,tr.,23,0.2,tr.,0.1,n.d.
Peasant's Schüblig,Sausages and cold meats/Raw sausage products,per 100g edible portion,524,48.5,18.8,23,4.4,86,0.3,0.3,0,0,21.3,4,0.1,29.7,8,8,7,6,6,0.53,0.24,0.33,3.29,5.96,2.6,0.56,71,0,0.69,350,1590,2350,4.8,23,270,1.5,1.1,2.9,n.d.
"Peiti Beurre with chocolate, cookie",Sweets/Cookies/Biscuits,per 100g edible portion,482,21.3,12.9,6.5,1.1,23,63.8,37.2,25.8,2.1,7.7,0.5,0,5.5,85,82,78,41,41,0.1,0.21,0.07,0,0.31,6.3,0.23,1.3,0.1,0.45,370,200,250,120,39,160,1.6,9.1,1.2,n.d.
"Peppermint, fresh",Vegetables/Herbs,per 100g edible portion,49,0.7,0.1,0,0.4,0,5.3,5.2,0.1,3,3.8,0,0,86.1,122,61,0,730,730,0.12,0.33,0.05,0,1.1,110,0.19,31,0,5,260,15,34,210,30,75,9.5,4,1.2,n.d.
"Pesto sauce, green",Various/Sauces,per 100g edible portion,430,42.5,6.5,16.6,17.6,18,6.6,3.2,1.9,2.5,3.9,2.7,0,39,152,82,13,831,831,0.05,0.1,0.07,0,0.59,25.8,0.31,92.6,<0.3,17.9,200,1060,1690,150,36,94,0.6,4,0.7,4
"Pesto sauce, red",Various/Sauces,per 100g edible portion,398,35.8,5,15.1,13.6,5,10.8,7.1,1.1,5,5.7,2.1,0,38.7,104,60,17,526,526,0.13,0.16,0.26,0.08,2.93,34.3,0.63,20.6,0,17.66,1050,830,1310,99,58,140,2,3.4,1,n.d.
"Petit Beurre, cookie",Sweets/Cookies/Biscuits,per 100g edible portion,431,12.4,7.1,2.8,1,33,70.2,20.6,49.1,2.3,8.7,0.5,0,7.2,116,111,107,52,51,0.15,0.03,0.12,0.01,0.23,11.5,0.35,0,0.2,0.63,130,220,350,11,24,90,1.1,1.9,0.8,1.7
"Petit beurre, wholemeal cookie",Sweets/Cookies/Biscuits,per 100g edible portion,426,12.7,7.1,2.8,1.4,33,65.3,17.3,47.8,6,9.6,0.6,0,7.1,116,112,107,54,54,0.26,0.09,0.23,0.01,0.39,25.9,0.67,0,0.2,0.79,290,230,360,30,68,190,2.8,2.5,1.8,3.2
"Pike, raw",Fish/Fresh water fish,per 100g edible portion,81,0.9,0.2,0.2,0.2,63,0,0,0,0,18.4,0.2,0,79.6,6,6,6,0,0,0.09,0.06,0.15,2,1.6,6,0.24,3.8,1.4,0.91,370,75,tr.,22,28,220,0.2,5.8,0.7,28
Pine nuts,"Nuts, seeds and oleaginous fruit",per 100g edible portion,688,61.9,4.3,15.7,25.7,0,13,4.9,5,6.3,16.5,0,0,2.2,0,0,0,0,tr.,0.49,0.26,0.22,0,3.33,63.4,0.41,<0.5,0,11.9,810,1.9,61,20,370,690,6.5,11,5.8,1
Pineapple juice,Fruit/Fruit juices,per 100g edible portion,51,0.1,0,0,0.1,0,12.1,12.1,0,0.2,0.4,0,0,86.3,10,5,0,59,59,0.05,0.02,0.1,0,0.2,2,0.1,12.1,0,0.02,130,5,38,16,14,4,0.2,0,0.1,0.1
"Pineapple, fresh",Fruit/Fresh fruit,per 100g edible portion,52,0.1,tr.,tr.,tr.,0,11.7,10.5,tr.,1.2,0.5,0,0,86.4,8,4,0,49,49,0.07,0.02,0.07,0,0.2,9.4,0.13,56.5,0,0.03,120,<1,19,14,11,6,0.2,1.4,0.1,0.1
"Pineapple, in pineapple juice, canned, drained",Fruit/Cooked fruit (incl. cans),per 100g edible portion,60,0.1,tr.,tr.,tr.,0,13.6,12.8,0,1.4,0.5,0,0,84.5,4,2,0,24,24,0.06,tr.,0.08,0,0.2,5,0.07,5,0,0.02,130,tr.,18,11,12,7.8,0.2,0.3,0.1,0.1
"Pineapple, in pineapple juice, canned, not drained",Fruit/Cooked fruit (incl. cans),per 100g edible portion,59,0.1,tr.,tr.,tr.,0,13.6,12.6,0,0.9,0.4,0,0,84.9,3,1,0,16,16,0.06,tr.,0.06,0,0.2,5,0.06,5,0,0.01,130,0.2,18,10,12,7.1,0.2,0.1,0.1,0.1
"Pineapple, in syrup, canned, drained",Fruit/Cooked fruit (incl. cans),per 100g edible portion,70,0.1,tr.,tr.,tr.,0,15.9,15.9,0,1.6,0.5,0,0,82,3,2,0,20,20,0.03,tr.,0.05,0,0.2,5,0.04,5.2,0,0.02,95,1.9,13,6.4,11,4.8,0.1,0.3,0.1,0.1
"Pineapple, with sweetener, canned, drained",Fruit/Cooked fruit (incl. cans),per 100g edible portion,42,0.1,0,0,0,0,9.4,8.4,0,1,0.5,0,0,86.4,8,4,0,49,37,0.04,0.01,0.05,0,0.16,4.7,0.1,22.6,0,0.03,73,0.6,19,13,8.8,4.8,0.1,1.4,0.1,0.1
"Pistachio, dried","Nuts, seeds and oleaginous fruit",per 100g edible portion,594,45.4,5.6,23.8,13.7,0,17.6,7.7,1.7,10,23.8,0,0,3.9,35,18,0,211,211,0.43,0.24,0.9,0,1.1,68.4,0.52,5.6,0,1.64,1000,1,40,92,120,470,2.8,5,3.3,6.8
"Pizza Calzone, baked",Prepared dishes/Italian dishes,per 100g edible portion,224,7.7,3,3.5,0.6,16,26.5,1.4,24.9,1.5,11.4,0.9,0,53.2,57,49,41,97,97,0.14,0.11,0.1,0.29,1.27,11.1,0.28,10.2,0.1,1.42,210,360,730,85,15,150,0.5,2.4,1.1,n.d.
"Pizza doug ( with olive oil), raw","Cereal products, pulses and potatoes/Dough",per 100g edible portion,229,3.6,0.5,2.2,0.6,0,41.2,0.2,40.6,2,7,0.7,0,46.8,0,0,0,3,3,0.11,0.04,0.04,0,0.4,19.8,0.24,0,0,1.15,110,290,470,5.9,9.4,44,0.4,0.6,0.4,1.4
"Pizza Hawaii, baked",Prepared dishes/Italian dishes,per 100g edible portion,195,6.3,2.5,2.9,0.5,13,24.2,3.5,20.5,1.5,9.5,0.7,0,58.7,49,41,34,89,89,0.13,0.1,0.09,0.24,1.1,10,0.27,9.9,0.1,1.19,190,300,610,73,15,130,0.5,2,0.9,n.d.
"Pizza Margherita, baked",Prepared dishes/Italian dishes,per 100g edible portion,238,8.4,3.3,3.8,0.7,12,29.9,1.5,28.1,1.7,9.9,0.7,0,50.4,64,55,46,110,110,0.08,0.1,0.07,0.32,0.66,12.3,0.23,3.2,0.1,1.58,180,290,640,94,14,130,0.5,2.1,1,n.d.
"Pizza with four cheeses, baked",Prepared dishes/Italian dishes,per 100g edible portion,297,10.6,5,3.9,0.8,20,37.2,0.2,36.6,1.8,12.3,1.1,0,38.6,66,63,60,32,32,0.08,0.11,0.05,0.32,0.41,12.1,0.3,0,0.2,1.17,120,450,760,210,16,180,0.5,6.8,1.2,n.d.
"Pizza with ham and mushrooms, baked",Prepared dishes/Italian dishes,per 100g edible portion,204,6.9,2.7,3.1,0.6,14,23.9,1.3,22.4,1.6,10.7,0.8,0,57.3,51,44,37,88,88,0.14,0.14,0.1,0.26,1.55,11.7,0.46,9.4,0.3,1.27,230,330,660,77,15,150,0.6,4.3,1,n.d.
"Pizza with ham, baked",Prepared dishes/Italian dishes,per 100g edible portion,218,6.4,2.2,3.2,0.6,13,28.7,1.4,26.9,1.6,10.6,0.9,0,53.1,42,35,27,93,93,0.15,0.1,0.1,0.19,1.34,11.2,0.29,11.1,0,1.5,220,380,710,60,15,130,0.6,2.1,0.9,n.d.
"Pizza with mascarpone and rocket, baked",Prepared dishes/Italian dishes,per 100g edible portion,239,9.8,4.4,4,0.7,16,27.6,1.7,25.7,1.6,9.4,0.7,0,51.9,95,76,56,234,234,0.08,0.11,0.07,0.3,0.62,16.8,0.24,6.4,0.1,1.51,190,270,590,98,13,120,0.6,3.3,0.9,n.d.
"Pizza with tuna, baked",Prepared dishes/Italian dishes,per 100g edible portion,226,7.6,3,3.4,0.6,17,26.5,1.3,24.9,1.5,12,0.8,0,52.7,100,92,84,97,97,0.07,0.1,0.11,0.64,1.82,11.6,0.24,2.9,0.3,1.51,190,300,570,84,15,130,0.6,1.9,0.9,n.d.
"Pizza with vegetables, baked",Prepared dishes/Italian dishes,per 100g edible portion,125,3.2,1.2,1.4,0.4,4,17.5,1.6,15.5,2,5.7,0.4,0,72.1,41,28,15,158,158,0.08,0.1,0.09,0.1,0.98,22.2,0.47,13.7,0.3,0.82,240,140,330,44,15,81,0.7,5.3,0.6,n.d.
"Plum pie, home-made, baked (with cake dough)","Sweets/Cakes and tarts;Prepared dishes/Cakes, pies and gratins",per 100g edible portion,144,6.6,2.9,2.5,0.8,18,17.6,7.6,9,1.5,2.9,0.2,0,71.6,25,17,8,101,101,0.05,0.06,0.05,0.08,0.32,3.7,0.27,2.8,0.1,0.79,140,89,140,20,11,44,0.5,3.8,0.3,1.9
"Plum pie, home-made, baked (with puff pastry)","Sweets/Cakes and tarts;Prepared dishes/Cakes, pies and gratins",per 100g edible portion,142,6.8,3,2.6,0.8,18,16.9,7.6,8.3,1.4,2.6,0.3,0,72.4,25,17,8,103,101,0.04,0.06,0.03,0.08,0.32,3.8,0.26,2.8,0.1,0.83,140,110,170,19,8.2,36,0.3,3.8,0.2,1.9
"Plum, fresh",Fruit/Fresh fruit,per 100g edible portion,48,0.2,0,0,0.1,0,10.2,8.8,0,1.6,0.6,0,0,83.7,30,15,0,179,176,0.04,0.04,0.03,0,0.45,2,0.17,5.2,0,0.27,160,1.7,1.5,8.3,7.4,16,0.3,1.4,0.1,0.6
"Plum, stewed, drained (without addition of sugar)",Fruit/Cooked fruit (incl. cans),per 100g edible portion,48,0.2,0,0,0.1,0,10.1,8.6,0,1.6,0.7,0,0,87.5,28,14,0,166,163,0.03,0.04,0.03,0,0.44,1.2,0.16,2.6,0,0.33,120,1.3,1.9,9.7,7.3,16,0.3,1.7,0.1,0.7
